5S1n1/+b3g1ksl/2grbL2p/3ppp1p1/6S1P/2P2R3/1KSP2P2/3G5/7N+n w gnLl9p 50	3b4c
1+L2gksn1/3g3Pl/2srbp2p/3pp2p1/5Pp1P/2P1+b2S1/NGSP1+lP2/1K2G4/6RNL w n6p 38	3a2b
lns4n1/2g4sl/1pp1kbg1p/3pBp3/1PP1p1PpP/2KPPP2R/P1S4S1/4+r4/1N5NL w 2glP2p 41	4c5d
lrs2g1+S1/4g2k1/1ppp1+Np1p/p8/4p2B1/2P4P1/PP1PPPP1P/2GSGKS1L/1N1+r3N1 w bNLl2P 32	2b2a
1nsg1gsnb/l2r4l/p1ppkpppp/1p2p4/2P6/P8/1PSPPPPPP/1BGKG1SR1/LN5NL w - 9	3c3d
ln5+S1/2B3+R2/p1p1pppp+N/1p1k4p/1s1p2g2/2S6/PP2PPPPP/1BGK2SR1/LN5NL b GgL2p 31	G*7e
ln1gg1sn1/1rsk3bl/p1pp1pp1p/1p2p2p1/9/2PP3P1/PPS1PPP1P/1BGKG2R1/LN4SNL w - 8	3a3b
lns4n1/2g4sl/rpp1kbg1p/3ppp3/1PP3PpP/3PPP2R/1KS4S1/4G4/1N5NL w Bgl2P2p 38	9c9h+
lns1k2nl/r1g4s1/ppp1p1gpp/3pbpp2/9/2P6/PPSPPPPPP/2GKG2R1/LN4SNL w B 12	1a1b
lrs2g1nl/4g2k1/1pp1ppp1p/p6L1/4B2p1/2P4P1/PP1PPPP1P/2GSG1S1+b/1N2K2NL w rSnp 22	N*2c
2+R3gnl/l3ks1b1/ppnp1pppp/2p1p4/9/1G4P1P/PP1PPP1P1/1B1KG1SR1/L6NL b G2SNP 21	N*6d
ln1gk2n+S/1r4g2/p1ppGpppl/1p6p/3P5/2S6/PP2PPPPP/1BGK2SR1/LN5NL b BS2p 20	1a2a
lns1k1s1l/1r2g1g2/ppp1ppnpp/3p2p2/9/2P4P1/PPSPPPP1P/2G1G2R1/LN2K1SNL w Bb 7	5b6c
ln1gk2nl/1r1s1sgb1/p1pppp1pp/6p2/1p7/2PPP4/PPS2PPPP/1BG2S1R1/LN2KG1NL w - 7	7c7d
1+L2gk1n1/3g3sl/2srbp2p/3pp2p1/5Pp1P/2P1+b2S1/NGSP1+lP2/1K1G5/6RNL w n7p 39	5f9b
lns1gg1nl/3rk2s1/1ppppp2p/p5pp1/9/2P1B2P1/PP1PPPP1P/2GSG1SR1/LN2K2NL w b 8	6b8b
lns1G+B3/4r4/pppk1G1pp/3pppp2/7n1/2P2PP2/PPSPP3P/2G1K1+l2/LN6+b w rg2SnlP 30	3h4h
lnsSG1+B2/1rk6/ppp4pp/3pppp2/7n1/2P2PP2/PPSPP3P/2GKG1+l2/LN6+b w rGsnlP 25	7b6c
1+b2gk1n1/7sl/2grbL2p/3ppp1p1/6S1P/2P6/1KSP1RP2/3G5/7N+n w gSnLlP8p 47	4a3b
lns1gg1nl/1r3k1s1/1ppppp2p/p5Bp1/7P1/2P6/PP1PPPP1P/2GSG1SR1/LN2K2NL w bP 10	2d2e
7n1/+b3k2sl/2g1rp2p/3ppLBp1/n7P/1SP6/3P2P2/1K1G5/7N+n w r2gSsLl9p 60	G*8g
1+b2gk1n1/3g3sl/2Nrb3p/3ppp1p1/6p1P/2P4S1/1GSP1+lP2/1K1G5/6RNL w Snl8p 42	6b7c
3g1k1nl/3r1sg+P1/2s1pp3/3p1bppp/lp7/3PP4/NPSG1PP1P/1BGK1S1R1/1+p5NL w Nl3p 25	4d2b
lns2gsn1/7bl/pr1kg1p1p/1ppppp1p1/9/P1P1P2P1/1PSPBPP1P/1KG1G1SR1/LN5NL w - 16	8a7c
